,Reactant,Charge R,Multiplicity R,Product,Charge P,Multiplicity P,X,R1,R2,R3,R4,R5,Potential,canonSMILES
50,N(C)(C)C1=CC=C(C(C)(C)C(OC)OC2=CC=CC=C2)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C)C(OC)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,OC,N(C)(C),C,C,0.77232559,COC(Oc1ccccc1)C(C)(C)c1ccc(N(C)C)cc1
52,N(C)(C)C1=CC=C(C([H])([H])C([H])OC)C=C1,0,1,N(C)(C)C1=CC=C(C([H])([H])C([H])OC)C=C1,1,2,O,C,[H],N(C)(C),[H],[H],0.77706013,COCCc1ccc(N(C)C)cc1
59,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C([H])OC)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C([H])OC)C=C1,1,2,O,C,[H],N(C)(C),C1=CC=CC=C1,C,0.78048859,COCC(C)(c1ccccc1)c1ccc(N(C)C)cc1
61,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(OC)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(OC)OCOC)C=C1,1,2,O,COC,OC,N(C)(C),C1=CC=CC=C1,C1=CC=CC=C1,0.78116884,COCOC(OC)C(c1ccccc1)(c1ccccc1)c1ccc(N(C)C)cc1
62,N(C)(C)C1=CC=C(C(C)(C)C(C)OC2=CC=CC=C2)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C)C(C)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,C,N(C)(C),C,C,0.7818763000000001,CC(Oc1ccccc1)C(C)(C)c1ccc(N(C)C)cc1
63,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)([H])C([H])OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)([H])C([H])OCOC)C=C1,1,2,O,COC,[H],N(C)(C),C1=CC=CC=C1,[H],0.78424357,COCOCC(c1ccccc1)c1ccc(N(C)C)cc1
64,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C4=CC=CC=C4)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C4=CC=CC=C4)OCOC)C=C1,1,2,O,COC,C1=CC=CC=C1,N(C)(C),C1=CC=CC=C1,C1=CC=CC=C1,0.78424357,COCOC(c1ccccc1)C(c1ccccc1)(c1ccccc1)c1ccc(N(C)C)cc1
67,N(C)(C)C1=CC=C(C([H])([H])C(C)OC2=CC=CC=C2)C=C1,0,1,N(C)(C)C1=CC=C(C([H])([H])C(C)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,C,N(C)(C),[H],[H],0.78554965,CC(Cc1ccc(N(C)C)cc1)Oc1ccccc1
68,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(C3=CC=CC=C3)OC4=CC=CC=C4)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(C3=CC=CC=C3)OC4=CC=CC=C4)C=C1,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,N(C)(C),C1=CC=CC=C1,C,0.7859578,CN(C)c1ccc(C(C)(c2ccccc2)C(Oc2ccccc2)c2ccccc2)cc1
69,N(C)(C)C1=CC=C(C(C)(C2=CC=CC=C2)C([H])OC3=CC=CC=C3)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C2=CC=CC=C2)C([H])OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,[H],N(C)(C),C,C1=CC=CC=C1,0.78628432,CN(C)c1ccc(C(C)(COc2ccccc2)c2ccccc2)cc1
70,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(OC)OC)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(OC)OC)C=C1,1,2,O,C,OC,N(C)(C),C1=CC=CC=C1,C1=CC=CC=C1,0.78633874,COC(OC)C(c1ccccc1)(c1ccccc1)c1ccc(N(C)C)cc1
71,N(C)(C)C1=CC=C(C([H])(C2=CC=CC=C2)C(C3=CC=CC=C3)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C([H])(C2=CC=CC=C2)C(C3=CC=CC=C3)OCOC)C=C1,1,2,O,COC,C1=CC=CC=C1,N(C)(C),[H],C1=CC=CC=C1,0.78636595,COCOC(c1ccccc1)C(c1ccccc1)c1ccc(N(C)C)cc1
